,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Emerald,-23.5333,148.1667,84.34,45,40,19.57,AU,1636699212
1,Torbay,47.6666,-52.7314,39.27,86,90,34.52,CA,1636699212
2,Hobart,-42.8794,147.3294,52.11,89,75,1.99,AU,1636699213
3,Rikitea,-23.1203,-134.9692,74.16,71,42,6.8,PF,1636699213
4,Mercedes,-34.6515,-59.4307,61.86,82,5,8.68,AR,1636699214
5,Yellowknife,62.456,-114.3525,31.41,90,75,14.97,CA,1636699214
6,Saint George,37.1041,-113.5841,54.19,50,1,1.99,US,1636699167
7,East London,-33.0153,27.9116,70.74,78,40,6.91,ZA,1636699215
8,Monforte de Lemos,42.5216,-7.5142,46.56,91,12,0.6,ES,1636699215
9,Port Lincoln,-34.7333,135.8667,57.99,58,100,17.96,AU,1636698971
10,Flinders,-34.5833,150.8552,65.21,90,47,1.01,AU,1636699216
11,Hermanus,-34.4187,19.2345,71.91,72,8,5.1,ZA,1636699216
12,Ushuaia,-54.8,-68.3,47.86,53,0,0.0,AR,1636699217
13,Arraial do Cabo,-22.9661,-42.0278,67.84,79,100,13.44,BR,1636699217
14,Nyrob,60.733,56.7202,32.54,94,100,10.49,RU,1636699218
15,Fort Frances,48.5999,-93.4003,30.42,67,90,16.11,CA,1636698989
16,Dauriya,49.9333,116.8667,35.74,44,100,10.13,RU,1636699218
17,Bambous Virieux,-20.3428,57.7575,82.65,65,20,13.8,MU,1636699219
18,Saint-Philippe,-21.3585,55.7679,83.48,74,13,5.77,RE,1636699219
19,Salalah,17.0151,54.0924,89.69,23,0,6.91,OM,1636699219
20,Krasnoyarskiy,51.965,59.8967,26.65,77,100,18.77,RU,1636699220
21,Yeppoon,-23.1333,150.7333,78.58,88,100,13.0,AU,1636699220
22,Erenhot,43.6475,111.9767,33.57,61,5,13.8,CN,1636699221
23,Shizunai-furukawachō,42.3339,142.3669,49.84,64,94,10.69,JP,1636699221
24,Karpogory,64.0019,44.4451,33.3,95,100,8.66,RU,1636699222
25,Waipawa,-41.4122,175.5153,63.23,72,100,21.61,NZ,1636699222
26,Vao,-22.6667,167.4833,75.34,80,100,10.94,NC,1636699223
27,Atuona,-9.8,-139.0333,77.76,76,2,9.95,PF,1636699223
28,Longyearbyen,78.2186,15.6401,6.64,72,40,3.44,SJ,1636699223
29,Sarkand,45.41,79.9186,48.13,54,0,1.43,KZ,1636699224
30,Nemuro,43.3236,145.575,54.03,77,100,13.4,JP,1636699224
31,George Town,5.4112,100.3354,82.33,86,40,1.01,MY,1636699157
32,Cherskiy,68.75,161.3,16.43,96,100,3.94,RU,1636699225
33,Purranque,-40.9167,-73.1667,52.93,96,74,0.63,CL,1636699225
34,Half Moon Bay,37.4636,-122.4286,63.63,84,1,0.0,US,1636699226
35,Mataura,-46.1927,168.8643,60.67,66,51,5.14,NZ,1636699228
36,Busselton,-33.65,115.3333,72.09,40,5,9.53,AU,1636699228
37,Ixtapa,20.7,-105.2,71.26,93,3,2.71,MX,1636699229
38,Caravelas,-17.7125,-39.2481,73.06,91,99,0.78,BR,1636699229
39,Juneau,58.3019,-134.4197,37.45,93,90,4.61,US,1636699230
40,Vila Velha,-20.3297,-40.2925,66.15,96,90,5.99,BR,1636699230
41,Nikolskoye,59.7035,30.7861,41.88,92,100,11.03,RU,1636699231
42,Castro,-24.7911,-50.0119,54.39,93,93,8.01,BR,1636699231
43,Saldanha,-33.0117,17.9442,66.25,77,12,15.88,ZA,1636699232
44,Morros,-9.4467,-46.3003,71.85,83,18,1.77,BR,1636699232
45,Ayan,56.45,138.1667,28.49,87,100,13.65,RU,1636699232
46,Livramento,-3.0254,-60.1803,75.88,94,20,3.44,BR,1636699233
47,Kisanga,-7.4362,37.7034,88.45,48,3,7.65,TZ,1636699233
48,Provideniya,64.3833,-173.3,11.23,91,69,2.46,RU,1636699234
49,Saint Anthony,45.0205,-93.218,36.55,91,90,1.99,US,1636699234
50,Dongobesh,-4.0667,35.3833,72.54,35,69,11.88,TZ,1636699235
51,Puerto Ayora,-0.7393,-90.3518,67.89,91,20,7.65,EC,1636699235
52,Jamestown,42.097,-79.2353,58.32,92,90,7.0,US,1636699188
53,Mar del Plata,-38.0023,-57.5575,61.88,83,0,28.99,AR,1636699236
54,Griffith,41.5284,-87.4237,43.39,75,40,1.99,US,1636699236
55,Punta Arenas,-53.15,-70.9167,44.71,70,0,5.75,CL,1636699236
56,Agadir,30.4202,-9.5982,45.05,65,70,2.33,MA,1636699237
57,Rabo de Peixe,37.8,-25.5833,68.27,88,82,12.5,PT,1636699237
58,Mayo,38.8876,-76.5119,64.96,88,1,8.99,US,1636699238
59,Chokurdakh,70.6333,147.9167,3.51,96,100,9.04,RU,1636699238
60,Port Elizabeth,-33.918,25.5701,66.49,88,75,8.05,ZA,1636699239
61,Lorengau,-2.0226,147.2712,84.52,67,41,5.79,PG,1636699239
62,Batagay,67.6333,134.6333,-11.29,100,100,1.77,RU,1636699239
63,Abu Dhabi,24.4667,54.3667,82.51,34,0,2.3,AE,1636699240
64,Ilulissat,69.2167,-51.1,10.42,67,41,14.97,GL,1636699240
65,Nanortalik,60.1432,-45.2371,24.19,75,44,5.77,GL,1636699241
66,Ribeira Grande,38.5167,-28.7,68.83,87,71,23.55,PT,1636699241
67,Ribeira Brava,32.65,-17.0667,66.83,67,42,6.82,PT,1636699241
68,Risør,58.7206,9.2342,36.28,71,98,4.14,NO,1636699242
69,Øksfjord,70.2396,22.3479,33.98,92,94,7.67,NO,1636699242
70,Avarua,-21.2078,-159.775,73.45,78,17,9.22,CK,1636699243
71,San-Pédro,4.7485,-6.6363,75.99,91,100,2.06,CI,1636699243
72,Watsa,3.0372,29.5355,72.93,78,100,2.59,CD,1636699243
73,Nyanguge,-2.55,33.2,78.51,43,87,7.9,TZ,1636699244
74,San Miguel,13.4833,-88.1833,71.02,89,0,2.98,SV,1636699244
75,Tagusao,9.1924,117.8141,81.66,80,100,5.53,PH,1636699245
76,Thessalon,46.2501,-83.5666,43.56,80,100,9.06,CA,1636699245
77,Dikson,73.5069,80.5464,8.8,92,100,23.24,RU,1636699246
78,Chipinge,-20.1883,32.6236,79.2,47,100,4.99,ZW,1636699246
79,Geraldton,-28.7667,114.6,88.21,14,0,16.11,AU,1636699246
80,Lebu,-37.6167,-73.65,54.01,87,99,8.01,CL,1636699247
81,Kavieng,-2.5744,150.7967,83.46,75,51,8.03,PG,1636699247
82,Xining,36.6167,101.7667,31.96,40,0,2.26,CN,1636699248
83,Khandyga,62.6667,135.6,14.72,97,100,3.53,RU,1636699248
84,Pimentel,-6.8367,-79.9342,62.06,89,96,14.61,PE,1636699249
85,Tasiilaq,65.6145,-37.6368,30.36,94,100,5.79,GL,1636699249
86,Albany,42.6001,-73.9662,55.81,76,100,7.0,US,1636699249
87,St. George's,12.0564,-61.7485,78.48,89,20,6.91,GD,1636699132
88,Butaritari,3.0707,172.7902,82.47,73,6,14.72,KI,1636699250
89,Vaini,-21.2,-175.2,78.96,94,75,3.44,TO,1636699251
90,Norman Wells,65.282,-126.8329,8.64,85,40,6.91,CA,1636699251
91,Sfântu Gheorghe,45.8667,25.7833,47.57,57,13,0.87,RO,1636699252
92,Porto-Novo,6.4965,2.6036,76.82,85,97,1.54,BJ,1636699252
93,Kloulklubed,7.0419,134.2556,86.5,70,46,9.28,PW,1636699252
94,Kishtwār,33.3167,75.7667,65.75,18,0,2.73,IN,1636699253
95,Amahai,-3.3333,128.9167,84.78,73,100,3.02,ID,1636699253
96,Talnakh,69.4865,88.3972,0.68,95,100,12.1,RU,1636699254
97,Leningradskiy,69.3833,178.4167,-2.06,90,59,6.2,RU,1636699255
98,Saint-Augustin,51.226,-58.6502,25.18,63,97,14.79,CA,1636699255
99,Alegrete,-29.7831,-55.7919,57.4,77,0,15.75,BR,1636699255
100,Kupang,-10.1667,123.5833,84.79,72,100,7.45,ID,1636699256
101,Ende,-8.8432,121.6623,84.31,77,98,4.03,ID,1636699256
102,Bengkulu,-3.8004,102.2655,84.7,66,44,6.62,ID,1636699257
103,Carnarvon,-24.8667,113.6333,84.27,32,3,19.57,AU,1636699257
104,Villa Guerrero,18.8667,-99.65,55.78,70,0,6.02,MX,1636699258
105,Cape Town,-33.9258,18.4232,72.12,65,40,4.0,ZA,1636699128
106,Egvekinot,66.3167,-179.1667,1.74,97,100,1.43,RU,1636699258
107,Newton,42.337,-71.2092,52.7,75,90,4.0,US,1636699259
108,Huarmey,-10.0681,-78.1522,62.29,89,36,8.12,PE,1636699259
109,Saint-François,46.4154,3.9054,33.67,100,90,2.3,FR,1636699259
110,Khatanga,71.9667,102.5,-30.55,100,17,4.12,RU,1636699260
111,Cayenne,4.9333,-52.3333,80.1,86,0,2.3,GF,1636699260
112,Porto Empedocle,37.2934,13.5264,60.04,70,5,4.25,IT,1636699261
113,Samarai,-10.6167,150.6667,84.85,78,25,12.97,PG,1636699261
114,Qaanaaq,77.484,-69.3632,-5.8,64,0,10.69,GL,1636699262
115,Ancud,-41.8697,-73.8203,49.53,91,100,3.94,CL,1636699262
116,Tautira,-17.7333,-149.15,78.82,67,95,10.45,PF,1636699262
117,Bluff,-46.6,168.3333,56.71,79,2,23.82,NZ,1636699263
118,Laas,46.6166,10.7002,30.11,72,42,1.01,IT,1636699263
119,Upernavik,72.7868,-56.1549,15.01,78,100,16.06,GL,1636699264
120,Beloha,-25.1667,45.05,84.97,43,100,11.63,MG,1636699264
121,Saint Paul Harbor,57.79,-152.4072,24.31,68,1,10.36,US,1636699085
122,Mahajanga,-15.7167,46.3167,87.82,66,20,6.91,MG,1636699265
123,Fortuna,40.5982,-124.1573,60.42,75,90,0.0,US,1636699265
124,Yakeshi,49.2833,120.7333,34.52,43,15,10.87,CN,1636699266
125,Bandarbeyla,9.4942,50.8122,82.08,65,100,16.04,SO,1636699266
126,Kiryat Gat,31.61,34.7642,73.9,28,58,2.08,IL,1636699144
127,Saskylakh,71.9167,114.0833,-24.48,97,21,3.94,RU,1636699267
128,Williston,48.147,-103.618,24.21,84,95,8.99,US,1636698841
129,Camopi,3.1655,-52.3158,69.91,100,61,1.68,GF,1636699267
130,Cockburn Town,21.4612,-71.1419,82.13,73,23,17.98,TC,1636699268
131,Olinda,-8.0089,-34.8553,78.53,89,75,6.91,BR,1636699268
132,Pizarro,4.9533,-77.366,74.82,92,53,3.94,CO,1636699269
133,Lompoc,34.6391,-120.4579,70.57,74,1,4.61,US,1636699269
134,Pedernales,18.0384,-71.744,78.49,67,36,3.8,DO,1636699269
135,Hilo,19.7297,-155.09,72.81,84,20,4.61,US,1636699020
136,Bredasdorp,-34.5322,20.0403,69.28,72,75,2.3,ZA,1636699270
137,Okha,53.5739,142.9478,34.14,84,100,12.55,RU,1636699271
138,Tarko-Sale,64.9225,77.785,13.24,94,100,24.65,RU,1636699271
139,Ketchikan,55.3422,-131.6461,48.67,87,90,23.02,US,1636699271
140,Buraidah,26.326,43.975,64.85,21,75,7.94,SA,1636699272
141,Saint-Pierre,-21.3393,55.4781,83.57,67,0,10.36,RE,1636699272
142,Atar,20.5169,-13.0499,75.22,39,100,5.48,MR,1636699273
143,Karoi,-16.8099,29.6925,78.93,46,46,11.99,ZW,1636699273
144,College,64.8569,-147.8028,10.2,74,90,0.0,US,1636699132
145,Asău,46.4333,26.4,43.95,51,20,1.54,RO,1636699274
146,Labuhan,-6.8844,112.2051,83.8,73,100,10.27,ID,1636699274
147,Hofn,64.2539,-15.2082,33.44,74,100,15.32,IS,1636699275
148,Port Blair,11.6667,92.75,86.04,79,75,5.75,IN,1636699275
149,Afonso Bezerra,-5.4983,-36.5056,74.86,85,0,6.82,BR,1636699276
150,Tondano,1.3038,124.9112,73.49,78,66,2.91,ID,1636699276
151,Abu Samrah,35.3029,37.1841,60.15,36,0,5.95,SY,1636699277
152,Pangkalanbuun,-2.6833,111.6167,78.64,90,100,4.07,ID,1636699277
153,São Filipe,14.8961,-24.4956,75.69,73,24,10.69,CV,1636699278
154,Pisco,-13.7,-76.2167,61.02,88,0,2.3,PE,1636699278
155,Scarborough,54.2797,-0.4044,51.08,89,67,5.99,GB,1636699278
156,Mahébourg,-20.4081,57.7,82.69,65,20,13.8,MU,1636699279
157,New Norfolk,-42.7826,147.0587,51.66,77,100,3.0,AU,1636699279
158,Sinnamary,5.3833,-52.95,77.23,87,56,6.49,GF,1636699280
159,Bakel,14.905,-12.4568,78.85,14,100,8.05,SN,1636699280
160,Tual,-5.6667,132.75,85.48,69,83,6.33,ID,1636699281
161,Dhidhdhoo,6.8833,73.1,82.18,75,54,19.89,MV,1636699281
162,Ust-Maya,60.4167,134.5333,13.82,96,100,2.84,RU,1636699281
163,Ust-Nera,64.5667,143.2,10.44,96,100,6.24,RU,1636699282
164,Port Alfred,-33.5906,26.891,68.97,79,78,10.16,ZA,1636699282
165,Puerto Peñasco,31.3167,-113.5333,75.16,37,0,11.16,MX,1636699283
166,Calvinia,-31.4707,19.776,66.02,48,0,4.61,ZA,1636699283
167,Hobyo,5.3505,48.5268,83.89,62,100,10.09,SO,1636699284
168,Redlands,34.0556,-117.1825,77.65,32,1,0.0,US,1636699284
169,João Pinheiro,-17.7425,-46.1725,66.47,97,100,1.5,BR,1636699284
170,Forsytheganj,52.6333,29.7333,40.48,87,95,11.32,BY,1636699285
171,Biograd na Moru,43.9433,15.4519,56.75,71,100,3.06,HR,1636699285
172,Manggar,-2.8833,108.2667,78.8,84,100,13.4,ID,1636699286
173,Mosquera,4.7059,-74.2302,55.49,88,75,4.61,CO,1636699003
174,Taltal,-25.4,-70.4833,58.73,87,61,4.79,CL,1636699286
175,Bubaque,11.2833,-15.8333,81.43,73,100,11.39,GW,1636699287
176,La Palma,33.8464,-118.0467,84.24,35,1,0.0,US,1636699287
177,Tuktoyaktuk,69.4541,-133.0374,10.4,92,75,6.91,CA,1636699287
178,Loreto,22.2667,-101.9667,54.32,65,0,8.3,MX,1636699288
179,Pokosnoye,55.5258,101.0536,32.76,85,93,14.76,RU,1636699288
180,Ballarat,-37.5662,143.8496,50.49,98,100,12.66,AU,1636699289
181,Goderich,43.7501,-81.7165,48.52,87,100,11.5,CA,1636699289
182,Pevek,69.7008,170.3133,5.07,85,100,3.11,RU,1636699289
183,Kapaa,22.0752,-159.319,77.32,65,40,8.05,US,1636699290
184,Bokhan,53.153,103.7714,35.8,83,99,10.38,RU,1636699290
185,Merauke,-8.4667,140.3333,85.55,71,98,7.09,ID,1636699291
186,Poconé,-16.2567,-56.6228,73.38,96,100,4.03,BR,1636699291
187,Kassala,15.451,36.4,89.53,27,5,1.86,SD,1636699292
188,Viedma,-40.8135,-62.9967,63.95,85,100,13.35,AR,1636699292
189,Yar-Sale,66.8333,70.8333,12.47,96,100,9.37,RU,1636699292
190,Petropavlovsk-Kamchatskiy,53.0452,158.6483,41.59,87,75,6.71,RU,1636699293
191,Mucurapo,10.6667,-61.5333,77.25,86,83,5.53,TT,1636699293
192,Tiksi,71.6872,128.8694,-9.71,97,77,4.47,RU,1636699294
193,Tukan,53.8409,57.4552,24.94,82,100,5.82,RU,1636699294
194,San Andrés,12.5847,-81.7006,82.42,78,20,6.91,CO,1636699295
195,Ratangarh,28.0833,74.6,83.32,14,5,3.04,IN,1636699295
196,Sohag,26.557,31.6948,64.69,35,100,4.83,EG,1636699296
197,Coronado,32.6859,-117.1831,76.77,52,1,0.0,US,1636699296
198,Naze,28.3667,129.4833,65.32,53,37,13.18,JP,1636699297
199,Nishihara,26.1842,127.7558,71.65,53,75,10.36,JP,1636699297
200,Huilong,31.8111,121.655,62.98,30,0,9.48,CN,1636699298
201,Severo-Kuril'sk,50.6789,156.125,43.68,95,58,14.41,RU,1636699298
202,Hualmay,-11.0964,-77.6139,62.24,88,99,8.7,PE,1636699298
203,Grand Gaube,-20.0064,57.6608,82.8,58,19,7.0,MU,1636699299
204,Novosineglazovskiy,55.0401,61.3792,24.51,65,97,11.92,RU,1636699299
205,Zhigansk,66.7697,123.3711,-9.53,89,77,18.59,RU,1636699300
206,Orán,-23.1322,-64.326,71.42,77,97,0.96,AR,1636699301
207,Barrow,71.2906,-156.7887,19.42,68,90,19.57,US,1636699301
208,Eyl,7.9803,49.8164,85.44,54,77,14.52,SO,1636699301
209,Santa Lucía,27.9117,-15.5407,60.12,76,75,12.66,ES,1636699302
210,Mangochi,-14.4782,35.2645,89.55,41,12,5.35,MW,1636699302
211,Mount Isa,-20.7333,139.5,76.77,33,5,13.8,AU,1636699303
212,Cairns,-16.9167,145.7667,86.11,74,75,8.05,AU,1636699303
213,Alice Springs,-23.7,133.8833,69.35,35,0,8.05,AU,1636699304
214,Thompson,55.7435,-97.8558,19.56,93,90,9.22,CA,1636699304
215,Crib Point,-38.35,145.2,55.9,92,100,24.45,AU,1636699304
216,Hasaki,35.7333,140.8333,66.49,42,100,19.53,JP,1636699305
217,Shirokiy,49.758,129.523,24.17,89,100,5.91,RU,1636699305
218,Voh,-20.9667,164.7,80.29,73,79,4.56,NC,1636699306
219,Bambanglipuro,-7.95,110.2833,78.17,83,100,4.61,ID,1636699306
220,Callaway,30.153,-85.5699,66.13,91,20,3.0,US,1636699307
221,Samoded,63.6083,40.5111,31.21,91,99,2.98,RU,1636699307
222,Kudahuvadhoo,2.6708,72.8944,82.92,78,44,20.18,MV,1636699307
223,Ji’an,27.1172,114.9793,66.42,41,100,7.92,CN,1636699308
224,Nieuw Nickerie,5.95,-56.9833,77.2,86,52,8.21,SR,1636699308
225,Galesburg,40.9478,-90.3712,45.01,77,100,1.01,US,1636699309
226,El Salvador,13.8333,-88.9167,68.4,95,2,2.33,SV,1636699309
227,Bandrele,-12.9067,45.1914,85.75,66,75,9.22,YT,1636699309
228,Palmer,42.1584,-72.3287,52.63,66,90,3.0,US,1636699310
229,Iqaluit,63.7506,-68.5145,10.13,78,90,18.01,CA,1636699310
230,Santa Cruz de la Sierra,-17.8,-63.1667,76.46,65,75,10.36,BO,1636699311
231,Husavik,66.0449,-17.3389,13.91,81,100,13.49,IS,1636699311
232,Clyde River,70.4692,-68.5914,5.18,91,98,9.48,CA,1636699312
233,Whyalla,-33.0333,137.5833,62.49,67,75,21.85,AU,1636699312
234,Bekhteyevka,50.8072,37.2085,34.7,70,100,15.23,RU,1636699313
235,Boa Vista,2.8197,-60.6733,80.58,69,40,16.11,BR,1636699313
236,Huadian,42.9633,126.7478,30.81,77,7,9.24,CN,1636699313
237,Kaitangata,-46.2817,169.8464,60.93,80,28,3.15,NZ,1636699314
238,Baghdad,33.3406,44.4009,60.71,59,0,8.05,IQ,1636699016
239,Pangnirtung,66.1451,-65.7125,8.6,85,90,8.05,CA,1636699315
240,Mocuba,-16.8392,36.9856,89.67,47,62,5.08,MZ,1636699315
241,Viet Tri,21.3019,105.4308,75.15,47,100,3.69,VN,1636699316
242,Srīvardhan,18.0333,73.0167,86.74,34,80,1.43,IN,1636699316
243,Rafaela,-31.2503,-61.4867,63.99,53,0,4.0,AR,1636699317
244,Oktyabr'skoye,43.0645,44.7417,33.94,86,75,4.47,RU,1636699317
245,Nizhnevartovsk,60.9344,76.5531,5.02,85,0,11.18,RU,1636699318
246,Launceston,-41.45,147.1667,60.62,53,75,4.0,AU,1636699318
247,Tura,25.5198,90.2201,77.56,49,61,2.93,IN,1636699319
248,Agüimes,27.9054,-15.4461,65.03,75,75,12.66,ES,1636699320
249,Santa Clara,22.4,-79.9667,74.17,100,75,3.44,CU,1636699230
250,Coyhaique,-45.5752,-72.0662,46.35,71,0,6.91,CL,1636699320
251,Tiznit Province,29.5833,-9.5,50.09,70,4,2.06,MA,1636699321
252,Cabo San Lucas,22.8909,-109.9124,77.5,75,0,1.99,MX,1636699321
253,San Blas,21.5167,-105.2667,75.09,82,0,3.4,MX,1636699322
254,Faanui,-16.4833,-151.75,79.14,72,79,14.97,PF,1636699322
255,Hithadhoo,-0.6,73.0833,82.54,76,24,17.34,MV,1636699323
256,Bethel,41.3712,-73.414,59.99,86,90,1.01,US,1636699323
257,Koundara,12.4833,-13.3,75.43,80,100,2.73,GN,1636699324
258,Berlevåg,70.8578,29.0864,31.95,69,75,18.41,NO,1636699324
259,Ilorin,8.5,4.55,77.14,77,100,4.03,NG,1636699325
260,Paamiut,61.994,-49.6678,12.87,62,13,8.34,GL,1636699325
261,San Quintín,30.4833,-115.95,68.16,46,0,1.97,MX,1636699326
262,Touros,-5.1989,-35.4608,74.3,78,5,10.36,BR,1636699326
263,Dingle,10.9995,122.6711,85.06,78,88,11.1,PH,1636699326
264,Fairbanks,64.8378,-147.7164,10.22,74,90,0.0,US,1636699247
265,Mitsamiouli,-11.3847,43.2844,84.49,74,40,6.91,KM,1636699327
266,Kumul,42.8,93.45,35.73,41,0,2.91,CN,1636699328
267,Pindiga,9.9833,10.9333,78.39,21,93,1.23,NG,1636699328
268,Paoua,7.2427,16.4406,80.64,60,43,5.82,CF,1636699328
269,Mabaruma,8.2,-59.7833,72.36,92,78,1.45,GY,1636699329
270,Aného,6.2333,1.6,73.6,81,100,2.42,TG,1636699329
271,Palmas Bellas,9.2319,-80.0867,79.25,86,100,3.78,PA,1636699330
272,Rome,43.2128,-75.4557,61.12,80,90,12.66,US,1636699259
273,Praia,14.9215,-23.5087,73.94,78,20,4.61,CV,1636699188
274,Victoria Point,-27.5833,153.3,85.44,86,1,5.01,AU,1636699330
275,Manado,1.487,124.8455,81.37,94,75,5.75,ID,1636699331
276,Ostrovnoy,68.0531,39.5131,34.57,94,100,22.7,RU,1636699331
277,Haimen,23.1935,116.6142,75.09,51,47,15.48,CN,1636699332
278,Dodge City,37.7528,-100.0171,48.63,56,90,13.0,US,1636699180
279,Vianópolis,-16.7419,-48.5164,64.76,94,94,0.76,BR,1636699333
280,Sisimiut,66.9395,-53.6735,12.38,73,50,12.03,GL,1636699333
281,Port Hardy,50.6996,-127.4199,48.2,93,75,3.44,CA,1636699334
282,Giovinazzo,41.1864,16.6674,63.82,94,40,2.3,IT,1636699334
283,Broken Hill,-31.95,141.4333,60.51,51,75,24.16,AU,1636699335
284,Derzhavīnsk,51.1,66.3167,28.09,70,88,14.58,KZ,1636699335
